Date,StartTime,EndTime,Duration(s),Program,Recipe,AtomAir,FanAir,FlowSP,Voltage,Speed,GunOpenTime
3/18/2026,10:32:34 AM,10:32:37 AM,3.50,1,0,0,0,50,0,50,0
3/18/2026,10:33:19 AM,10:33:21 AM,2.80,2,0,0,0,50,0,50,500
3/18/2026,10:40:23 AM,10:40:26 AM,3.50,1,0,0,0,50,0,50,500
3/18/2026,10:40:32 AM,10:40:35 AM,2.80,2,0,0,0,50,0,50,500
3/18/2026,10:41:05 AM,10:41:09 AM,4.20,3,0,0,0,50,0,50,500
3/18/2026,10:41:22 AM,10:41:27 AM,4.90,3,0,0,0,50,0,500,500
3/18/2026,10:42:14 AM,10:42:17 AM,2.80,2,0,20,20,50,0,500,500
3/18/2026,10:42:32 AM,10:42:36 AM,4.20,3,0,20,20,50,0,500,500
3/18/2026,10:42:47 AM,10:42:52 AM,4.90,3,0,20,20,50,0,500,100
3/18/2026,10:42:57 AM,10:43:00 AM,2.80,1,0,20,20,50,0,500,100
3/18/2026,10:43:16 AM,10:43:21 AM,4.20,2,0,20,20,50,0,100,100
3/18/2026,10:43:47 AM,10:43:51 AM,4.20,2,0,20,20,50,0,50,100
3/18/2026,10:47:12 AM,10:47:15 AM,2.80,1,0,20,20,50,0,500,1000
3/18/2026,10:47:25 AM,10:47:28 AM,2.80,1,0,20,20,50,0,500,50
3/18/2026,10:47:41 AM,10:47:45 AM,4.20,2,0,20,20,50,0,500,50
3/18/2026,10:47:55 AM,10:47:59 AM,4.20,3,0,20,20,50,0,800,50
3/18/2026,10:48:12 AM,10:48:17 AM,4.90,3,0,20,20,50,0,800,100
